Active,City,Country,Id,LpHandoverTimeEDAir,LpHandoverTimeEDSurface,LpHandoverTimeHDAir,LpHandoverTimeHDSurface,LpHandoverTimeNDDAir,LpHandoverTimeNDDSurface,LpHandoverTimeSDDAir,LpHandoverTimeSDDSurface,LpHandoverTimeSlotAir,LpHandoverTimeSlotSurface,Name,OrderAcceptanceTATEDAir,OrderAcceptanceTATEDSurface,OrderAcceptanceTATHDAir,OrderAcceptanceTATHDSurface,OrderAcceptanceTATNDDAir,OrderAcceptanceTATNDDSurface,OrderAcceptanceTATSDDAir,OrderAcceptanceTATSDDSurface,OrderAcceptanceTATSlotAir,OrderAcceptanceTATSlotSurface,OrderCutoffTimeEDAir,OrderCutoffTimeEDSurface,OrderCutoffTimeHDAir,OrderCutoffTimeHDSurface,OrderCutoffTimeNDDAir,OrderCutoffTimeNDDSurface,OrderCutoffTimeSDDAir,OrderCutoffTimeSDDSurface,OrderCutoffTimeSlotAir,OrderCutoffTimeSlotSurface,OrderProcessingTATEDAir,OrderProcessingTATEDSurface,OrderProcessingTATHDAir,OrderProcessingTATHDSurface,OrderProcessingTATNDDAir,OrderProcessingTATNDDSurface,OrderProcessingTATSDDAir,OrderProcessingTATSDDSurface,OrderProcessingTATSlotAir,OrderProcessingTATSlotSurface,Pin,ReturnCity,ReturnCountry,ReturnPin,ReturnSlaveID,ReturnState,State,WorkingDays
true,CHENNAI,IN,100001-W045,14:00,17:00,17:15,17:00,15:00,15:00,17:00,17:00,15:00,15:00,WestSide  Chennai Ampa,60,180,180,180,60,60,60,60,60,60,12:00,18:00,18:00,18:00,12:00,12:00,11:00,11:00,12:00,12:00,60,840,660,840,120,120,60,60,120,120,600029,CHENNAI,IN,600017,100001-W091,22,22,1111110
true,Jaipur,IN,100025-JPR01,15:00,15:00,17:00,17:00,15:00,15:00,17:00,17:00,15:00,15:00,SAVEX TECHNOLOGIES JAIPUR,60,60,180,180,60,60,180,180,60,60,11:00,11:00,12:00,12:00,12:00,12:00,00:00,00:00,12:00,12:00,120,120,480,480,120,120,480,480,120,120,302006,Jaipur,IN,302006,100025-JPR01,20,20,1111110
false,Bangalore,IN,100031-BFM,17:00,17:00,17:00,17:00,15:00,15:00,17:00,17:00,15:00,15:00,Mochi Phoenix Market City Bangaluru,60,60,180,180,60,60,60,60,60,60,14:00,14:00,14:00,14:00,12:00,12:00,11:00,11:00,12:00,12:00,60,60,180,180,120,120,60,60,120,120,560048,THANE,IN,421302,100031-EHS,13,10,1111110
false,Bangalore,IN,100031-BVS,17:00,17:00,17:00,17:00,15:00,15:00,17:00,17:00,15:00,15:00,Metro The Forum Value Mall Bangaluru,60,60,180,180,60,60,60,60,60,60,14:00,14:00,14:00,14:00,12:00,12:00,11:00,11:00,12:00,12:00,60,60,180,180,120,120,60,60,120,120,560066,THANE,IN,421302,100031-EHS,13,10,1111110
false,Coimbatore,IN,100031-CFM,17:00,17:00,17:00,17:00,15:00,15:00,17:00,17:00,15:00,15:00,Mochi Krishnaswamy Road Coimbatore,60,60,180,180,60,60,60,60,60,60,14:00,14:00,14:00,14:00,12:00,12:00,11:00,11:00,12:00,12:00,60,60,180,180,120,120,60,60,120,120,641001,THANE,IN,421302,100031-EHS,13,22,1111110
false,Ghaziabad,IN,100031-DZM,17:30,17:30,17:30,17:30,15:00,15:00,17:00,17:30,15:00,15:00,Mochi Mahagun Metro Mall Gaziabad,60,60,60,60,60,60,60,60,60,60,15:00,15:00,15:00,15:00,12:00,12:00,11:00,11:00,12:00,12:00,60,60,600,60,120,120,60,60,120,120,201010,THANE,IN,421302,100031-EHS,13,24,1111100
false,Jaipur,IN,100031-JIM,17:00,17:00,17:00,17:00,15:00,15:00,17:00,17:00,15:00,15:00,MOCHI MALVIYA NGR JAIPUR,60,60,180,180,60,60,60,60,60,60,14:00,14:00,14:00,14:00,12:00,12:00,11:00,11:00,12:00,12:00,60,60,180,180,120,120,60,60,120,120,302017,THANE,IN,421302,100031-EHS,13,20,1111110
false,Chennai,IN,100031-MDN,17:00,17:00,17:00,17:00,15:00,15:00,17:00,17:00,15:00,15:00,Metro Anna Nagar Chennai,60,60,180,180,60,60,60,60,60,60,14:00,14:00,14:00,14:00,12:00,12:00,11:00,11:00,12:00,12:00,60,60,180,180,120,120,60,60,120,120,600040,THANE,IN,421302,100031-EHS,13,22,1111110
false,Aligarh,IN,100093-LT0054,17:00,17:00,17:00,17:00,15:00,15:00,17:00,17:00,15:00,15:00,LOTTO SWATI COMPLEX ALIGARH,60,60,180,180,60,60,60,60,60,60,14:00,14:00,14:00,14:00,12:00,12:00,11:00,11:00,12:00,12:00,60,60,180,180,120,120,60,60,120,120,202001,Panipat,IN,131103,100093-SSPH1,7,24,1111110
false,Kollam,IN,100096-S098,17:00,17:00,17:00,17:00,15:00,15:00,15:00,15:00,15:00,15:00,Woodland Sahilias Complex Kollam,7200,7200,21600,21600,21600,7200,7200,7200,21600,7200,14:00,14:00,12:00,12:00,15:00,15:00,15:00,15:00,15:00,15:00,7200,7200,21600,21600,21600,7200,7200,7200,21600,7200,691001,Kollam,IN,691001,100096-S098,11,11,1111111
